NIST 614 - 1
start:0
Time,206Pb,207Pb,208Pb,232Th,238U
15.61013,0.0,15.87302595,0.0,0.0,0.0
15.74328,0.0,15.87302595,0.0,0.0,0.0
15.87632,0.0,15.87302595,0.0,0.0,0.0
16.00943,0.0,15.87302595,0.0,0.0,0.0
16.14252,0.0,0.0,0.0,0.0,0.0
16.27566,0.0,15.87302595,0.0,0.0,0.0
16.40867,0.0,0.0,0.0,0.0,0.0
16.54169,0.0,15.87302595,0.0,0.0,0.0
16.67478,0.0,0.0,0.0,0.0,0.0
16.80788,0.0,31.74607206,0.0,0.0,0.0
16.94098,0.0,0.0,125.000625,0.0,52.63168975
17.07411,0.0,0.0,0.0,0.0,52.63168975
17.20717,800.0256008,7224.309245,41192.76209,3000.360043,15114.39543
17.34022,41936.89699,53543.00047,159384.7021,20141.21368,49624.62478
17.4733,88377.99288,87767.36392,216737.8619,42697.79975,91067.36872
17.60644,111024.2084,106115.1802,254948.7072,57758.1325,131743.2435
17.73953,125089.4453,108532.6287,259286.5767,83150.64439,162470.0964
17.87264,119535.4962,98257.68692,242708.6436,90325.17061,165776.2397
18.00576,106014.3298,94002.93162,220553.7425,94732.61562,180771.4328
18.13899,106350.5007,93731.06021,226279.7292,94480.71991,191080.9785
18.27222,111629.564,96849.939,235828.8203,95362.37703,191615.3818
18.40532,105745.3996,95074.48218,232772.3247,101031.6524,193432.523
18.53838,107359.0674,96274.08764,229461.9565,94354.77395,196319.1095
18.67154,102048.1933,96817.94657,226788.8316,97755.75868,203324.5042
18.8046,111797.7235,95938.18655,233791.0743,100023.594,202415.1872
18.93762,109208.3167,93603.12276,229843.8777,102543.8918,188409.3016
19.0707,105913.4803,96242.09668,227170.6719,97755.75868,195356.8405
19.20397,110923.3186,98097.70761,232262.9807,102039.7918,206106.3517
19.33703,112033.1506,100081.5952,237357.3458,101409.6952,207122.9492
19.4702,109544.5731,98065.71199,249592.2191,101913.7699,206106.3517
19.60341,110015.3472,96817.94657,242963.5239,108468.5843,204340.8773
19.73647,108838.445,98193.69495,233409.0336,103678.1909,197548.7825
19.86963,111461.4067,96562.01002,232772.3247,100527.6131,199527.2038
20.00275,109443.6953,97841.74496,237866.8955,104938.6435,205036.3377
20.13588,106955.631,98113.70545,232008.3165,98637.64595,202468.6747
